,Parameter Name,ID (Decimal),Data Type,DLC (Decimal),Comments
Notes:,The Gopher Motersports internal name of the modual refrecenced,The ID of this parameter in decimal format. Max = 32768 (15 bits),"Final data type (u8, float, ect). Each data type will have a specific ID",The number of bytes this message needs for this parameter. This is directly related to the data type,This will appear in the auto-generated code
,can_command,0,COMMAND,2,
,rpm,1,U16,2,
,fan_current,2,U8,1,
,u8_tester,3,U8,1,test comment
,u16_tester,4,U16,2,
,u32_tester,5,U32,4,
,u64_tester,6,U64,8,
,s8_tester,7,S8,1,
,s16_tester,8,S16,2,
,s32_tester,9,S32,4,
,s64_tester,10,S64,8,
,float_tester,11,FLOAT,4,
